country,year,fossil_electricity,renewables_electricity,population,gdp,pc1,pc2,pc3,class,elec_sum
North Korea,1995,3171.953,1253.811,21862000,38797783040.0,8.973902597597704,-5.082712624231391,-6.510094936205233,1,4425.764
North Korea,1996,3171.953,1253.811,22113000,37504319488.0,8.974421182864793,-5.080782825588679,-6.510857359199296,1,4425.764
North Korea,1997,3171.953,1253.811,22335000,35055964160.0,8.974550663052856,-5.07899234378546,-6.512072161215392,1,4425.764
North Korea,1998,3171.953,1253.811,22537000,34736234496.0,8.975150033667758,-5.077485531398474,-6.5123868960925035,1,4425.764
North Korea,1999,3171.953,1253.811,22731000,36850814976.0,8.97633684334645,-5.076193696663082,-6.511685726455191,1,4425.764
United States,1989,2267.343,325.965,249726000,9090000000000.0,6.871665158078823,-1.0225764665892176,0.5251862751330914,1,2593.308
United States,1990,2261.957,352.928,252120000,9250000000000.0,7.030044135596905,-1.0820639215199406,0.5166199912972578,1,2614.8849999999998
United States,1991,2261.573,351.337,254539008,9240000000000.0,7.028294704757085,-1.0592521053276487,0.5152203957642629,1,2612.91
United States,1992,2299.683,319.567,256991008,9570000000000.0,7.030237906434736,-1.0029613933439152,0.7066066279912838,1,2619.25
United States,1993,2398.646,349.687,259532000,9840000000000.0,7.361751015087781,-1.1401865496762669,0.6397666348712538,1,2748.333
United States,1994,2441.003,329.68,262240992,10200000000000.0,7.428387979387093,-1.1171071803859207,0.8056508483365276,1,2770.683
United States,1995,2466.568,378.196,265164000,10500000000000.0,7.756093488949187,-1.2565837163156588,0.7645267575024361,1,2844.764
United States,1996,2522.6,416.184,268335008,10900000000000.0,8.102611218225372,-1.391824847495763,0.7672794630640658,1,2938.784
United States,1997,2613.247,425.647,271713984,11400000000000.0,8.395121195344778,-1.4788472269671395,0.8619715258273115,1,3038.894
United States,1998,2738.78,391.287,275175008,11900000000000.0,8.542083945299526,-1.472544293438326,1.051056218957472,1,3130.067
United States,1999,2763.086,388.135,278548000,12500000000000.0,8.721787534247111,-1.4928108071809336,1.2836570486927208,1,3151.2209999999995
United States,2000,2697.273,350.939,281711008,13000000000000.0,8.614865892511421,-1.3647843919770135,1.6547073033857562,1,3048.212
United States,2001,2688.911,278.906,284608000,13100000000000.0,8.327543481008473,-1.1574544480795987,1.9083963655503582,1,2967.817
United States,2002,2743.693,334.695,287279008,13300000000000.0,8.697382642019463,-1.3290816413882431,1.7786370129007618,1,3078.3880000000004
United States,2003,2772.694,346.758,289816000,13700000000000.0,8.895558273497286,-1.3851020055690677,1.8810787870719958,1,3119.4519999999998
United States,2004,2839.03,342.996,292355008,14200000000000.0,9.097425683199528,-1.4291041609655937,2.0366332580286497,1,3182.0260000000003
United States,2005,2922.344,351.093,294993984,14700000000000.0,9.372310751522772,-1.5135526937986752,2.142574242844835,1,3273.437
United States,2006,2898.27,379.214,297759008,15100000000000.0,9.574023658348985,-1.5773310380141183,2.246736465458158,1,3277.484
United States,2007,3004.469,345.851,300608000,15400000000000.0,9.64845412764905,-1.5535226205798431,2.368166309024654,1,3350.32
United States,2008,2938.535,374.644,303486016,15300000000000.0,9.674629745865289,-1.5606567249940921,2.3010753487417195,1,3313.179
United States,2009,2738.38,413.096,306308000,14900000000000.0,9.497937846297642,-1.492335441365288,2.203659271794291,1,3151.476
United States,2010,2896.217,421.875,309011008,15300000000000.0,9.844460397809168,-1.6170622310801592,2.1985572097906854,1,3318.092
United States,2011,2803.021,506.916,311584000,15500000000000.0,10.154515706910244,-1.7753582930887433,2.118914846416613,1,3309.9370000000004
United States,2012,2788.811,489.623,314044000,15900000000000.0,10.171027959249479,-1.72928187366751,2.3450901930954733,1,3278.434
United States,2013,2759.555,517.392,316400992,16100000000000.0,10.31285138911153,-1.7791647908726855,2.3724606556318952,1,3276.947
United States,2014,2764.034,543.638,318672992,16500000000000.0,10.540691971089393,-1.8590849548216595,2.45656789344467,1,3307.672
United States,2015,2741.274,553.289,320878016,16900000000000.0,10.662223373442622,-1.8797496687599535,2.613193133644267,1,3294.563
United States,2016,2668.222,621.571,323016000,17200000000000.0,10.94883970310771,-2.0163437883182302,2.6053363377377163,1,3289.793
United States,2017,2549.205,704.106,325084992,17200000000000.0,11.163406517359986,-2.143278363679575,2.473905122736388,1,3253.3109999999997
United States,2018,2666.35,730.502,327096000,17200000000000.0,11.431735779943844,-2.268476827029315,2.2898920194823815,1,3396.852
United States,2019,2595.032,757.393,329064992,17200000000000.0,11.465086124871105,-2.28048691897731,2.2754135320767626,1,3352.425
United States,2020,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,1985,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,1986,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,1987,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,1988,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,1989,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,1990,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,1991,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,1992,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,1993,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,1994,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,1995,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,1996,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,1997,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,1998,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,1999,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,2000,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,2001,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,2002,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,2003,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,2004,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,2005,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,2006,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,2007,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,2008,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,2009,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,2010,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,2011,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
United States Pacific Islands,2012,2431.99,827.938,329064992,17200000000000.0,11.565429354002049,-2.3646492430673107,2.220278789820168,1,3259.928
