country,year,fossil_electricity,renewables_electricity,population,gdp,pc1,pc2,pc3,class,elec_sum
India,1995,342.552,76.982,963923008,1440000000000.0,3.847370998918937,6.542887966338395,-0.8269477052885637,3,419.534
India,1996,364.106,70.698,982364992,1570000000000.0,3.942170355334117,6.673461340840452,-0.7911844233657637,3,434.804
India,1997,386.895,72.187,1000899968,1670000000000.0,4.064910177043323,6.785675666728981,-0.7914236273582961,3,459.082
India,1998,407.697,86.01,1019484032,1800000000000.0,4.246276572576975,6.865460783765089,-0.8129666399891996,3,493.707
India,1999,449.247,85.388,1038057984,1920000000000.0,4.38864838887361,6.970742762986055,-0.8158938776128026,3,534.635
India,2000,395.315,76.755,1056576000,2020000000000.0,4.371045735106296,7.155883809327785,-0.7174106928171442,3,472.07
India,2001,413.033,77.033,1075000064,2140000000000.0,4.4868414246299,7.272237379826859,-0.7011787955006897,3,490.06600000000003
India,2002,429.603,72.276,1093316992,2270000000000.0,4.581562407941364,7.400954916926094,-0.6651766987685841,3,501.879
India,2003,448.689,85.464,1111522944,2490000000000.0,4.7794636785710125,7.474882708650837,-0.6457023886011282,3,534.153
India,2004,475.687,96.009,1129623040,2690000000000.0,4.9704694144086385,7.551368937647378,-0.6339898582191836,3,571.696
India,2005,491.439,105.949,1147609984,3050000000000.0,5.184715180430993,7.625184559058374,-0.5439370582194638,3,597.388
India,2006,519.486,123.069,1165485952,3390000000000.0,5.440078930831945,7.673305055448174,-0.49388322096432485,3,642.555
India,2007,539.661,136.238,1183208960,3750000000000.0,5.672974664335743,7.734087217781361,-0.41689540632366207,3,675.8989999999999
India,2008,571.9,138.327,1200669952,4290000000000.0,5.917626054062421,7.802865713455243,-0.24414313322471934,3,710.227
India,2009,628.0,136.014,1217725952,4560000000000.0,6.103720618085833,7.8828950039385965,-0.1918761288314407,3,764.014
India,2010,655.12,145.824,1234280960,5110000000000.0,6.374829653297839,7.927403986288382,-0.0317383220285192,3,800.944
India,2011,696.984,174.621,1250288000,5680000000000.0,6.74986742310873,7.908239543996039,0.06917229207812145,3,871.605
India,2012,753.481,168.598,1265779968,6000000000000.0,6.927755710324438,7.982960908295291,0.15388442431430716,3,922.079
